Id,Label,Brand,Product Name,Price,Tags,Links
20,Treatment/Serum,VOTRE PEAU,Serum Retinol Concentrate,"Rp215,000",Blackheads,https://www.sociolla.com/face-serum/60865-serum-retinol-concentrate
21,Face Mask,SCARLETT WHITENING,Scarlett Whitening Herbalism Mugwort Mask,"Rp82,500",Blackheads,https://www.sociolla.com/clay-mask/61367-herbalism-mugwort-mask
22,Face Mask,MISSHA,Airy Fit Sheet Mask Honey,"Rp34,500",Blackheads,https://www.sociolla.com/sheet-mask/10566-airy-fit-sheet-mask-honey
23,Treatment/Toner,COSRX,AHA/BHA Clarifying Treatment Toner,"Rp200,000",Dark Spots,https://www.sociolla.com/toner/9207-aha-bha-clarifying-treatment-toner
24,Treatment/Toner,SOMETHINC,Glow Maker AHA BHA PHA Clarifying Treatment Toner 100 ml,"Rp119,000",Dark Spots,https://www.beautyhaul.com/product/detail/glow-maker-aha-bha-pha-clarifying-treatment-toner
25,Treatment/Essence,LACOCO,Dark Spots Essence,"Rp220,000",Dark Spots,https://www.sociolla.com/essence/24697-dark-spot-essence
26,Treatment/Essence,HADA LABO,Shirojyun Ultimate White Essence 30 gr,"Rp161,280",Dark Spots,https://www.sociolla.com/face-serum/56131-shirojyun-ultimate-white-essence
27,Treatment/Essence,COSRX,Advanced Snail Mucin 96 Power Essence,"Rp275,000",Dark Spots,https://www.sociolla.com/essence/11023-advanced-snail-mucin-96-power-essence
28,Treatment/Serum,SOMETHINC,5% Niacinamide + Moisture Sabi Beet Serum 40 ml,"Rp149,000",Dark Spots,https://www.beautyhaul.com/product/detail/5-niacinamide-moisture-sabi-beet-serum
29,Treatment/Serum,DEAR KLAIRS,Freshly Juiced Vitamin Drop 35 ml,"Rp360,000",Dark Spots,https://www.sociolla.com/face-serum/9656-freshly-juiced-vitamin-drop
30,Treatment/Serum,SOMETHINC,Dark Spot Reducer Ampoule 20 ml,"Rp129,000",Dark Spots,https://www.beautyhaul.com/product/detail/dark-spot-reducer-ampoule
31,Face Mask,MEDIHEAL,THE I.P.I Brightening Ampoule Mask,"Rp29,900",Dark Spots,https://www.sociolla.com/sheet-mask/9037-ipi-lightmax-ampoule-mask-ex?gclid=Cj0KCQjwmtGjBhDhARIsAEqfDEefxPwixtOXGegxaUEGY2GYn9fCa5KuA1kVFudILdWmVcIaYDpCT9EaAlFWEALw_wcB
32,Face Mask,MEDIHEAL,Vita Essential Mask,"Rp29,900",Dark Spots,https://www.sociolla.com/sheet-mask/3966-vita-lightbeam-essential-mask?gclid=Cj0KCQjwmtGjBhDhARIsAEqfDEd2Ew7iXflYOTerd1FhXDTj2xjZOKdYSRW7Q-CrawYVkD5spZl6l0EaAnu5EALw_wcB
